,Hash,Psi,Gamma,Delta,type,Diff_mean,Diff_std
0,00df88ea-8f23-4d7c-9e44-b8d9a85b2de6,1.39184494478742,0.035983912314835,0.033552684857682,inflexible,2.399959375874703,5.942674344247892
1,06dae11a-8d00-4a8c-8fd3-9c26e5fff9e7,1.68271839891951,0.022967011898315,0.01025802647426,flexible,2.2194538150499277,6.008726511545322
2,06f92494-b2d7-41ab-9951-e5c5163a644c,2.13058317979328,0.028244404968758,0.023935996851941,flexible,2.2410073685993486,5.990241282843525
3,0c56c3c1-0800-406c-b301-d8a1612151ec,3.43091686000657,0.037588676601688,0.030598243436284,flexible,2.8260813365745268,5.806176550129004
4,1112e212-41fa-49fd-b1c0-365c40d5ae37,0.603332887845536,0.018226855257172,0.011749762558306,flexible,1.470243152257319,6.221534283639366
5,1801100b-9a71-4091-93cb-389af3261789,1.54357280018106,0.033324111280647,0.016280321775764,inflexible,2.466195584796045,5.876872792353789
6,19770c1c-9fbf-41de-9242-2663e0e36f0c,0.814643889704232,0.024839662541895,0.005615166605894,inflexible,2.1177882949741806,6.033012709451728
7,1f7a2e00-debb-4663-befe-dd41d024bf3a,2.51511943460599,0.048154407131145,0.037806973041974,flexible,2.372420942808212,5.931369011738612
8,1fdb0854-98e9-4d9f-8ada-eee0e824ad20,1.37954443659317,0.037922029332759,0.017053275405337,inflexible,2.2767171434460773,5.943001177290687
9,25c4d236-68d6-4f85-848a-f1b8516f678b,1.45746247026828,0.054772618428601,0.033341994632171,flexible,2.1883554604330664,6.000328728176459
10,264c3f81-80d2-421d-87df-db627a6e602f,1.70140387559117,0.023601922421136,0.016235163929737,flexible,2.2083210296954756,5.991351352559614
11,27deba3d-ccab-48c4-8ab0-aa572ab4f5ed,1.29561886751972,0.02746641081381,0.018852890666748,inflexible,2.2223314441232316,5.966847259448661
12,2c423185-67b7-4e22-a118-0de56d7b23a4,2.14886966646086,0.065136620627579,0.062443685610205,flexible,2.145677242876058,6.022032140774469
13,3200fc6b-29d5-43db-892f-df497bc939a0,2.31502178013308,0.030132383332946,0.023638529045533,flexible,2.228221806553513,6.018143520354887
14,374fd255-1573-4c10-94af-58a1191db0f2,1.08756120919972,0.037978897380743,0.032122212176402,inflexible,2.188630845304115,6.003500532694025
15,381bfb16-d40a-487f-8c9f-eef7b5946a56,3.89790464010136,0.023966256232303,0.020977156434279,flexible,2.6549890770884956,5.823233664540671
16,3b708a3f-f8dc-43f7-9dd8-8fe0025e2625,0.952996044526778,0.093877852527619,0.053015757157649,inflexible,2.117924951437931,6.068890199872595
17,3c57e460-f5c8-4203-8cb3-1a84731bb2e0,0.911023015101826,0.028155238848152,0.021001724180263,inflexible,2.1024487122446476,6.0394226193758
18,3eb7df14-0282-4567-b857-c3be06ae1d19,1.05153820751904,0.039279902738967,0.016406200872353,flexible,1.8208623979675262,6.138625504971361
19,408e1eec-acac-436e-a9be-737de5cbcfe1,1.60425812208831,0.034126194666486,0.03085451450664,flexible,2.400393851566949,5.934382983716397
20,40a85d90-0990-4ad3-b61b-e23fd32c36f5,1.29771560737446,0.025763517470836,0.01100067227142,inflexible,2.2990062559536337,6.0392306867408685
21,4427ca6a-fc93-4018-a256-751c33bafd8d,1.21643611859888,0.023110969054116,0.013993480516797,inflexible,2.3258415809620403,5.9204631549550735
22,4f3dea17-b3d2-41cd-8bed-d21b4c3ee377,1.01018960439383,0.019356816698624,0.006680171111244,inflexible,2.2398965397619586,6.023492820034718
23,53d22822-65de-422d-9137-9c64e68e1c4a,1.79445370775981,0.028997173638548,0.023698993133358,flexible,2.0870945501406055,6.046594226846315
24,684aa462-0b8b-466f-a134-36dfe0312e1f,1.11494340813982,0.025703981896015,0.019068960234545,inflexible,2.3217808764321415,5.884723468841944
25,6b638e60-328e-4235-b834-ce1387a3bcd8,1.28769772106652,0.034988610921444,0.029733163865043,flexible,1.837299262912887,6.143446187079184
26,6c983151-d0d6-46c3-9557-b0ceeb7144aa,1.59894937509135,0.024788037138256,0.020696792842987,inflexible,2.502301433171747,5.897765350591084
27,74ee43f9-7a46-484f-9174-bc6c418a52d8,3.26969362888656,0.025489758709767,0.022371545888765,flexible,2.496836213040282,5.886753834169285
28,76fd71a1-5558-4891-bfec-d13b728bac35,2.74653511184733,0.019749825616517,0.018001432015588,flexible,2.476697217196046,5.891217250119721
29,78c57952-e83b-4c8a-af56-6c89e668d970,1.26098990978762,0.041526078713426,0.037000064530075,inflexible,2.180564503855744,5.947798462340827
30,7bf0e0c5-73e7-4164-b8f9-f3af99d74117,1.29081445394679,0.023970257362345,0.016612836523528,flexible,1.9505778952315191,6.093715673851894
31,7d7eb968-cd9b-42ea-846a-d581d02f2517,1.21430983312748,0.037713507438916,0.031645037394405,inflexible,2.492291772667852,5.962349899803627
32,81fbe802-81d8-48fa-bf62-935d3be2017f,2.61920732539311,0.027931644732568,0.021921347442948,flexible,2.462339738307942,5.93940589007889
33,8837a946-52ae-44cf-94fb-8cd55f2a6f8b,1.66000913608507,0.033245325097584,0.026626047980209,flexible,2.183500492640604,6.015541616699667
34,8b44910a-1ccc-41a2-b4e2-5556023c8db6,3.19683512932693,0.035571446078858,0.028941646624192,flexible,2.4837248541138193,5.8946022788310355
35,8bbcf1fc-db0e-4ca2-912d-99d67a05024b,1.32421530002981,0.029693004565758,0.024408329275746,inflexible,2.3340442463531583,5.943196281188375
36,8e211284-9e2d-41f5-a51c-c6218778cd41,2.95707762171308,0.0234187388194,0.017816956557013,flexible,2.6533448204770274,5.813239159280351
37,90076446-c7c5-4043-aa62-a9aa38380d9a,0.576098300822528,0.034277036605236,0.031997094234486,flexible,1.3937833915923823,6.248157151059424
38,951f5067-f685-43ed-8ef9-db7480b55131,0.897126340653058,0.031767578965752,0.020693604916255,inflexible,2.08971246554993,6.039329855097861
39,9c4c0731-18a3-4bd9-9fda-05a3c46de09d,1.69703886666057,0.037772280671616,0.033996833440186,inflexible,2.415412512623169,5.826680143139425
40,9fb4d771-8d44-490b-85ed-a7231a8b27e6,0.614060191999325,0.054680049415119,0.018115784426824,flexible,1.7518506354261671,6.12085022165523
41,a37bd782-6046-41f9-acf6-dc378ae46fb1,1.05754395783799,0.031238959683069,0.026213432888074,inflexible,2.2219508850758696,5.967330526628145
42,b5795796-9b02-46b2-85d4-b19b087350c5,0.787899757445665,0.018821802225451,0.015778199685181,flexible,1.641995323850888,6.18801087399938
43,c24b5fa2-7706-44bd-84ec-9a9d6af1787b,1.41009556379517,0.036885274893942,0.015760834624809,inflexible,2.3584782299253746,5.936351571545489
44,c7997551-607a-419a-b121-85ead5a217d9,1.0203876083511,0.018731713742096,0.018809038126682,inflexible,2.3807980025936635,5.956295633270699
45,c9dad539-e487-4bdf-a934-a6167e9106fb,1.71402716279536,0.023340215033498,0.013456882942135,inflexible,2.4011998368477623,5.88049766846766
46,cf543026-25f0-4529-bc92-efe33ab0a482,1.55869459061814,0.02040441315145,0.011463340820894,inflexible,2.4258853661616055,5.904135638499003
47,d5377b76-cf52-4af9-a7a0-3ecc93da9369,1.02123912353516,0.052651308057898,0.039555327789971,flexible,2.0592646286622633,6.036983934252329
48,dc3b44be-fa84-4569-920a-742256dc023d,0.777108046243013,0.027342092324354,0.025019054896058,flexible,1.7956607264929454,6.129696027372073
49,e158b5e8-87f0-4aff-8e72-2d25a9f75508,1.33063554376138,0.025649825168163,0.021091693767417,inflexible,2.4509365348154613,5.899566815035264
50,e172dff4-0ba3-461f-af24-687986280ba8,2.38451189585502,0.035433231608776,0.030337294058999,flexible,2.5978575498398904,5.837023359048771
51,e5cbbff8-e012-43b0-8b9c-ee3b6bb19559,3.02436558022383,0.033831727148453,0.024294376548348,flexible,2.339424937207715,5.946530234384388
52,e6d66abf-7208-4b5e-b19f-106cd3aaa871,1.45276590437977,0.029991846814307,0.02724879984431,inflexible,2.5074613396941534,5.959089367748201
53,e78cad56-b38d-4b1a-b66e-e49c75a9e60e,1.95469199299563,0.020075445265325,0.00877299086282,inflexible,2.5516683665351456,5.905617963162981
54,e88348cd-6d75-4459-8489-e1b93bd03d02,2.55284121063422,0.021263537672331,0.016328198520403,flexible,2.500974753752249,5.904147973080484
55,f0cbc38c-b477-444a-bbb2-016414668a4b,2.68250648061882,0.030449806155648,0.027412716766849,flexible,2.344869876869125,5.943996632626127
56,f0e7aaa7-eb26-419d-8e49-0294b67115b7,1.59512056643485,0.029954944070237,-0.008827798544488,inflexible,2.437857895396467,5.8737427180508535
57,f2f8b74e-6e43-4da7-9dc2-ee540d837d22,1.0324929269664,0.039011906774931,0.030604461408681,inflexible,2.0033971651834452,6.069398387677979
58,f331ecf3-f86b-4904-b7e5-b217730f829e,1.77181240116832,0.028305350349287,0.021903968200689,inflexible,2.4617162285158773,5.838468668977988
59,f36bc454-13d7-45a0-94a9-1e162dfa1332,0.976700439192292,0.023758809893074,0.016134351751964,inflexible,2.2054276988367416,5.975650378035267
